314,tea_green,Tea Green,#d0f0c0,208,240,192
315,tea_rose_orange,Tea Rose (Orange),#f88379,248,131,121
316,teal_blue,Teal Blue,#367588,54,117,136
317,teal_green,Teal Green,#00827f,0,130,127
318,thulian_pink,Thulian Pink,#de6fa1,222,111,161
319,tickle_me_pink,Tickle Me Pink,#fc89ac,252,137,172
320,tiffany_blue,Tiffany Blue,#0abab5,10,186,181
321,titanium_yellow,Titanium Yellow,#eee600,238,230,0
322,tractor_red,Tractor Red,#fd0e35,253,14,53
323,true_blue,True Blue,#0073cf,0,115,207
324,tufts_blue,Tufts Blue,#417dc1,65,125,193
325,turquoise_blue,Turquoise Blue,#00ffef,0,255,239
326,turquoise_green,Turquoise Green,#a0d6b4,160,214,180
327,tuscan_red,Tuscan Red,#7c4848,124,72,72
328,tyrian_purple,Tyrian Purple,#66023c,102,2,60
329,ua_blue,Ua Blue,#03a,0,51,170
330,ua_red,Ua Red,#d9004c,217,0,76
331,ucla_blue,Ucla Blue,#536895,83,104,149
332,ufo_green,Ufo Green,#3cd070,60,208,112
333,ultra_pink,Ultra Pink,#ff6fff,255,111,255
334,ultramarine_blue,Ultramarine Blue,#4166f5,65,102,245
335,united_nations_blue,United Nations Blue,#5b92e5,91,146,229
336,unmellow_yellow,Unmellow Yellow,#ff6,255,255,102
337,up_forest_green,Up Forest Green,#014421,1,68,33
338,upsdell_red,Upsdell Red,#ae2029,174,32,41
339,usafa_blue,Usafa Blue,#004f98,0,79,152
340,venetian_red,Venetian Red,#c80815,200,8,21
341,violet_blue,Violet-Blue,#324ab2,50,74,178
342,wild_blue_yonder,Wild Blue Yonder,#a2add0,162,173,208
343,yale_blue,Yale Blue,#0f4d92,15,77,146
344,yellow,Yellow,#ff0,255,255,0
345,yellow_green,Yellow-Green,#9acd32,154,205,50
346,yellow_munsell,Yellow (Munsell),#efcc00,239,204,0
347,yellow_ncs,Yellow (Ncs),#ffd300,255,211,0
348,yellow_orange,Yellow Orange,#ffae42,255,174,66
349,yellow_process,Yellow (Process),#ffef00,255,239,0
350,yellow_ryb,Yellow (Ryb),#fefe33,254,254,51
